Ticker,Name,Sector,Country
A,"Agilent Technologies, Inc.",Healthcare,United States
AA,Alcoa Corporation,Basic Materials,United States
AAC,Ares Acquisition Corporation,Financial Services,United States
AACG,ATA Creativity Global,Consumer Defensive,China
AACI,Armada Acquisition Corp. I,Financial Services,United States
AADI,"Aadi Bioscience, Inc.",Healthcare,United States
AAIC,Arlington Asset Investment Corp.,Real Estate,United States
AAL,American Airlines Group Inc.,Industrials,United States
AAMC,Altisource Asset Management Corporation,Financial Services,United States
AAME,Atlantic American Corporation,Financial Services,United States
AAN,"The Aaron's Company, Inc.",Consumer Cyclical,United States
AAOI,"Applied Optoelectronics, Inc.",Technology,United States
AAON,"AAON, Inc.",Industrials,United States
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,United States
AAPL,Apple Inc.,Technology,United States
AAQC,Accelerate Acquisition Corp.,Financial Services,United States
AAT,"American Assets Trust, Inc.",Real Estate,United States
AATC,Autoscope Technologies Corporation,Technology,United States
AAU,Almaden Minerals Ltd.,Basic Materials,Canada
AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,United States
AB,AllianceBernstein Holding L.P.,Financial Services,United States
ABB,ABB Ltd,Industrials,Switzerland
ABBV,AbbVie Inc.,Healthcare,United States
ABC,AmerisourceBergen Corporation,Healthcare,United States
ABCB,Ameris Bancorp,Financial Services,United States
ABCL,AbCellera Biologics Inc.,Healthcare,Canada
ABCM,Abcam plc,Healthcare,United Kingdom
ABEO,Abeona Therapeutics Inc.,Healthcare,United States
ABEV,Ambev S.A.,Consumer Defensive,Brazil
ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,United States
ABGI,ABG Acquisition Corp. I,Financial Services,United States
ABIO,"ARCA biopharma, Inc.",Healthcare,United States
ABM,ABM Industries Incorporated,Industrials,United States
ABMD,"Abiomed, Inc.",Healthcare,United States
ABNB,"Airbnb, Inc.",Consumer Cyclical,United States
ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,United States
ABR,"Arbor Realty Trust, Inc.",Real Estate,United States
ABSI,Absci Corporation,Healthcare,United States
ABST,Absolute Software Corporation,Technology,Canada
ABT,Abbott Laboratories,Healthcare,United States
ABTX,"Allegiance Bancshares, Inc.",Financial Services,United States
ABUS,Arbutus Biopharma Corporation,Healthcare,United States
ABVC,"ABVC BioPharma, Inc.",Healthcare,United States
AC,"Associated Capital Group, Inc.",Financial Services,United States
ACA,"Arcosa, Inc.",Industrials,United States
ACAB,Atlantic Coastal Acquisition Corp. II,Financial Services,United States
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,United States
ACAH,Atlantic Coastal Acquisition Corp.,Financial Services,United States
ACAQ,Athena Consumer Acquisition Corp.,Financial Services,United States
ACAX,Alset Capital Acquisition Corp.,Financial Services,United States
ACB,Aurora Cannabis Inc.,Healthcare,Canada
ACBA,Ace Global Business Acquisition Limited,Financial Services,Hong Kong
ACC,"American Campus Communities, Inc.",Real Estate,United States
ACCD,"Accolade, Inc.",Healthcare,United States
ACCO,ACCO Brands Corporation,Industrials,United States
ACDI,Ascendant Digital Acquisition Corp. III,Financial Services,United States
ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,United States
ACER,Acer Therapeutics Inc.,Healthcare,United States
ACET,"Adicet Bio, Inc.",Healthcare,United States
ACEV,ACE Convergence Acquisition Corp.,Financial Services,United States
ACGL,Arch Capital Group Ltd.,Financial Services,Bermuda
ACH,Aluminum Corporation of China Limited,Basic Materials,China
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,United States
ACHL,Achilles Therapeutics plc,Healthcare,United Kingdom
ACHR,Archer Aviation Inc.,Industrials,United States
ACHV,"Achieve Life Sciences, Inc.",Healthcare,Canada
ACI,"Albertsons Companies, Inc.",Consumer Defensive,United States
ACII,Atlas Crest Investment Corp. II,Financial Services,United States
ACIU,AC Immune SA,Healthcare,Switzerland
ACIW,"ACI Worldwide, Inc.",Technology,United States
ACKIT,Ackrell SPAC Partners I Co.,,
ACLS,"Axcelis Technologies, Inc.",Technology,United States
ACLX,"Arcellx, Inc.",Healthcare,United States
ACM,AECOM,Industrials,United States
ACMR,"ACM Research, Inc.",Technology,United States
ACN,Accenture plc,Technology,Ireland
ACNB,ACNB Corporation,Financial Services,United States
ACON,"Aclarion, Inc.",Healthcare,United States
ACOR,"Acorda Therapeutics, Inc.",Healthcare,United States
ACQR,Independence Holdings Corp.,Financial Services,United States
ACR,ACRES Commercial Realty Corp.,Real Estate,United States
ACRE,Ares Commercial Real Estate Corporation,Real Estate,United States
ACRO,Acropolis Infrastructure Acquisition Corp.,Financial Services,United States
ACRS,"Aclaris Therapeutics, Inc.",Healthcare,United States
ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,United States
ACST,Acasti Pharma Inc.,Healthcare,Canada
ACT,"Enact Holdings, Inc.",Financial Services,United States
ACTD,ArcLight Clean Transition Corp. II,Financial Services,United States
ACTG,Acacia Research Corporation,Industrials,United States
ACU,Acme United Corporation,Consumer Defensive,United States
ACVA,ACV Auctions Inc.,Technology,United States
ACXP,"Acurx Pharmaceuticals, Inc.",Healthcare,United States
ADAG,Adagene Inc.,Healthcare,China
ADAL,Anthemis Digital Acquisitions I Corp,Financial Services,United States
ADAP,Adaptimmune Therapeutics plc,Healthcare,United Kingdom
ADBE,Adobe Inc.,Technology,United States
ADC,Agree Realty Corporation,Real Estate,United States
ADCT,ADC Therapeutics SA,Healthcare,Switzerland
ADER,26 Capital Acquisition Corp.,Financial Services,United States
ADES,"Advanced Emissions Solutions, Inc.",Industrials,United States
ADEX,Adit EdTech Acquisition Corp.,Financial Services,United States
ADGI,"Adagio Therapeutics, Inc.",Healthcare,United States
ADI,"Analog Devices, Inc.",Technology,United States
ADIL,"Adial Pharmaceuticals, Inc.",Healthcare,United States
