Symbol,Name,Industry,Market Cap,Sector,Country
A,"Agilent Technologies, Inc.",Life Sciences Tools & Services,37031149504.0,Healthcare,United States
AA,Alcoa Corporation,Metals & Mining,11592618958.0,Basic Materials,United States
AAC,Ares Acquisition Corporation,Blank Check / SPAC,1225000107.0,Financial Services,United States
AACG,ATA Creativity Global,Diversified Consumer Services,31124621.0,Consumer Defensive,China
AACI,Armada Acquisition Corp. I,Blank Check / SPAC,203781480.0,Financial Services,United States
AADI,"Aadi Bioscience, Inc.",Biotechnology,301355380.0,Healthcare,United States
AAIC,Arlington Asset Investment Corp.,Mortgage Real Estate Investment Trust...,104412000.0,Real Estate,United States
AAL,American Airlines Group Inc.,Airlines,11197638651.0,Industrials,United States
AAMC,Altisource Asset Management Corporation,Real Estate Management & Development,21345890.0,Financial Services,United States
AAME,Atlantic American Corporation,Insurance,58354290.0,Financial Services,United States
AAN,"The Aaron's Company, Inc.",Specialty Retail,572412032.0,Consumer Cyclical,United States
AAOI,"Applied Optoelectronics, Inc.",Communications Equipment,63558427.0,Technology,United States
AAON,"AAON, Inc.",Building Products,2798975193.0,Industrials,United States
AAP,"Advance Auto Parts, Inc.",Specialty Retail,11576137629.0,Consumer Cyclical,United States
AAPL,Apple Inc.,"Technology Hardware, Storage & Periph...",2330000000000.0,Technology,United States
AAQC,Accelerate Acquisition Corp.,Blank Check / SPAC,488000000.0,Financial Services,United States
AAT,"American Assets Trust, Inc.",Equity Real Estate Investment Trusts ...,2550394600.0,Real Estate,United States
AATC,Autoscope Technologies Corporation,Scientific & Technical Instruments,30138429.0,Technology,United States
AAU,Almaden Minerals Ltd.,Metals & Mining,34242240.0,Basic Materials,Canada
AAWW,"Atlas Air Worldwide Holdings, Inc.",Air Freight & Logistics,1931042400.0,Industrials,United States
AB,AllianceBernstein Holding L.P.,Capital Markets,4209859303.0,Financial Services,United States
ABB,ABB Ltd,Electrical Equipment,61209522174.0,Industrials,Switzerland
ABBV,AbbVie Inc.,Biotechnology,266000000000.0,Healthcare,United States
ABC,AmerisourceBergen Corporation,Health Care Providers & Services,32634490732.0,Healthcare,United States
ABCB,Ameris Bancorp,Banks,3125305312.0,Financial Services,United States
ABCL,AbCellera Biologics Inc.,Biotechnology,2134019962.0,Healthcare,Canada
ABCM,Abcam plc,Biotechnology,3328802038.0,Healthcare,United Kingdom
ABEO,Abeona Therapeutics Inc.,Biotechnology,22644995.0,Healthcare,United States
ABEV,Ambev S.A.,Beverages,47298723839.0,Consumer Defensive,Brazil
ABG,"Asbury Automotive Group, Inc.",Specialty Retail,3957740379.0,Consumer Cyclical,United States
ABGI,ABG Acquisition Corp. I,Blank Check / SPAC,189459480.0,Financial Services,United States
ABIO,"ARCA biopharma, Inc.",Biotechnology,34728343.0,Healthcare,United States
ABM,ABM Industries Incorporated,Commercial Services & Supplies,3196343027.0,Industrials,United States
ABMD,"Abiomed, Inc.",Health Care Equipment & Supplies,11890810722.0,Healthcare,United States
ABNB,"Airbnb, Inc.","Hotels, Restaurants & Leisure",73799278499.0,Consumer Cyclical,United States
ABOS,"Acumen Pharmaceuticals, Inc.",Biotechnology,140944527.0,Healthcare,United States
ABR,"Arbor Realty Trust, Inc.",Mortgage Real Estate Investment Trust...,2611292404.0,Real Estate,United States
ABSI,Absci Corporation,Biotechnology,328696062.0,Healthcare,United States
ABST,Absolute Software Corporation,Software-Application,462179039.0,Technology,Canada
ABT,Abbott Laboratories,Health Care Equipment & Supplies,201000000000.0,Healthcare,United States
ABTX,"Allegiance Bancshares, Inc.",Banks,810233176.0,Financial Services,United States
ABUS,Arbutus Biopharma Corporation,Biotechnology,343561663.0,Healthcare,United States
ABVC,"ABVC BioPharma, Inc.",Biotechnology,65260743.0,Healthcare,United States
AC,"Associated Capital Group, Inc.",Capital Markets,863892524.0,Financial Services,United States
ACA,"Arcosa, Inc.",Construction & Engineering,2541206754.0,Industrials,United States
ACAB,Atlantic Coastal Acquisition Corp. II,Blank Check / SPAC,297300000.0,Financial Services,United States
ACAD,ACADIA Pharmaceuticals Inc.,Biotechnology,2619992572.0,Healthcare,United States
ACAH,Atlantic Coastal Acquisition Corp.,Blank Check / SPAC,420468750.0,Financial Services,United States
ACAQ,Athena Consumer Acquisition Corp.,Blank Check / SPAC,321421110.0,Financial Services,United States
ACAX,Alset Capital Acquisition Corp.,Blank Check / SPAC,104816920.0,Financial Services,United States
ACB,Aurora Cannabis Inc.,Pharmaceuticals,619155774.0,Healthcare,Canada
